Date,Open,High,Low,Close,Adj Close,Volume
"Sep 29, 2025",296.36,297.93,289.66,293.63,292.50,"3,860,800"
"Sep 26, 2025",299.93,302.00,292.75,294.98,293.49,"3,817,600"
"Sep 25, 2025",298.50,300.24,294.87,297.18,295.68,"4,504,500"
"Sep 24, 2025",306.90,307.25,298.79,300.30,298.78,"5,645,500"
"Sep 23, 2025",301.65,305.77,301.15,305.63,304.09,"3,637,400"
"Sep 22, 2025",300.10,301.15,296.35,301.02,299.50,"4,192,800"
"Sep 19, 2025",297.79,303.03,295.36,301.14,299.62,"9,652,600"
"Sep 18, 2025",290.71,297.65,290.21,297.09,295.59,"3,977,500"
"Sep 17, 2025",292.09,292.71,286.50,289.50,288.04,"4,149,600"
"Sep 16, 2025",289.87,294.74,288.84,292.97,291.49,"5,538,400"
"Sep 15, 2025",281.99,287.11,281.62,286.78,285.33,"3,716,600"
"Sep 12, 2025",281.56,283.53,280.70,281.69,280.27,"3,249,700"
"Sep 11, 2025",283.73,286.91,279.59,281.56,280.14,"4,016,800"
"Sep 10, 2025",277.55,283.49,276.89,283.41,281.98,"3,206,400"
"Sep 09, 2025",275.38,277.08,273.30,276.24,274.84,"3,073,600"
"Sep 08, 2025",280.00,282.92,275.49,276.05,274.66,"5,008,600"
"Sep 05, 2025",282.27,284.41,271.86,279.23,277.82,"4,952,600"
"Sep 04, 2025",275.83,282.36,275.83,282.27,280.84,"4,591,300"
"Sep 03, 2025",275.91,277.32,273.60,275.93,274.54,"4,120,400"
"Sep 02, 2025",273.90,275.58,268.01,275.39,274.00,"4,081,200"
"Aug 29, 2025",276.00,276.28,271.64,275.20,273.81,"5,037,100"
"Aug 28, 2025",272.50,276.67,272.13,276.00,274.61,"3,388,100"
"Aug 27, 2025",273.70,274.70,272.23,273.35,271.97,"2,705,700"
"Aug 26, 2025",267.98,274.70,267.42,273.94,272.56,"4,693,500"
"Aug 25, 2025",267.00,271.92,266.56,266.61,265.26,"4,301,600"
"Aug 22, 2025",269.73,272.35,266.37,266.53,265.18,"5,229,300"
"Aug 21, 2025",267.14,271.92,266.14,268.71,267.35,"3,266,400"
"Aug 20, 2025",265.46,268.94,263.81,266.44,265.09,"3,854,700"
"Aug 19, 2025",266.31,268.96,263.80,265.93,264.59,"3,404,900"
"Aug 18, 2025",267.90,269.61,266.51,268.45,267.09,"2,697,000"
"Aug 15, 2025",268.92,269.70,265.21,267.85,266.50,"5,203,300"
"Aug 14, 2025",272.99,274.16,269.48,269.70,268.34,"4,481,700"
"Aug 13, 2025",281.00,281.50,264.08,268.86,267.50,"7,599,600"
"Aug 12, 2025",276.04,280.54,275.70,279.63,278.22,"3,630,100"
"Aug 11, 2025",275.15,276.41,272.55,275.20,273.81,"3,360,100"
"Aug 08, 2025",273.58,277.18,272.58,275.01,273.62,"4,467,300"
"Aug 07, 2025",271.95,272.87,268.73,272.02,270.65,"3,050,400"
